Unnamed: 0,name,link,category,subcategory,price,size,condition,color,views,interested
0,Adidas samba og cloud white core black,https://www.vinted.fr/femmes/chaussures/baskets-2632/2917299546-adidas-samba-og-cloud-white-core-black,Chaussures,Baskets,150.0,38,5,"NOIR, BLANC",12,1.0
1,Jogging Adidas Noir,https://www.vinted.fr/femmes/vetements/vetements-de-sport/survetements/2813316058-jogging-adidas-noir,Vêtements de sport,Survêtements,29.0,S / 36 / 8,3,NOIR,330,42.0
2,Adidas Ozelia,https://www.vinted.fr/hommes/chaussures/baskets/2907889609-adidas-ozelia,Chaussures,Baskets,80.0,44,5,"ORANGE, BLANC",119,0.0
3,Ensemble adidas noir,https://www.vinted.fr/enfants/garcons/autres/2803701842-ensemble-adidas-noir,Garçons,Autres,40.0,13 ANS / 152-158 CM,4,NOIR,78,3.0
4,Adidas cuir,https://www.vinted.fr/hommes/chaussures/chaussures-de-sport/chaussures-de-tennis/2898719460-adidas-cuir,Chaussures de sport,Chaussures de tennis,12.0,41,2,BLANC,92,0.0
5,Gilet Adidas,https://www.vinted.fr/enfants/garcons/pulls-and-sweats/gilets-zippes/2883094193-gilet-adidas,Pulls & sweats,Gilets zippés,13.0,16 ANS / 170-176 CM,4,"NOIR, ORANGE",52,0.0
6,Maillot de foot Japon,https://www.vinted.fr/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2908005887-maillot-de-foot-japon,Vêtements de sport & accessoires,Hauts & t-shirts,40.0,L,5,MULTICOLORE,276,7.0
7,Chaussure adidas homme,https://www.vinted.fr/hommes/chaussures/chaussures-habillees/chaussures-a-lacets/2904594972-chaussure-adidas-homme,Chaussures habillées,Chaussures à lacets,7.0,44,2,BLEU,87,0.0
8,Sweat à capuche Adidas femme bleu style rétro taille S,https://www.vinted.fr/femmes/vetements/sweats-and-sweats-a-capuche-196/2906924645-sweat-a-capuche-adidas-femme-bleu-style-retro-taille-s,Sweats et sweats à capuche,Sweats & sweats à capuche,11.0,S / 36 / 8,3,BLEU,176,4.0
9,Veste Polaire sans manche adidas Réversible,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes-sans-manches/2914657601-veste-polaire-sans-manche-adidas-reversible,Manteaux & vestes,Vestes sans manches,35.0,M,3,"BEIGE, BLEU",54,7.0
10,hoodie adidas adventure,https://www.vinted.fr/hommes/vetements/sweats-and-pulls-1811/2912610067-hoodie-adidas-adventure,Sweats & pulls,Sweats,19.0,S,4,"JAUNE, MARINE",44,1.0
11,Short Adidas 12 ans parfait état,https://www.vinted.fr/enfants/garcons/pantalons-and-shorts/shorts-et-pantacourts/2914118390-short-adidas-12-ans-parfait-etat,Pantalons & shorts,Shorts et pantacourts,15.0,12 ANS / 146-152 CM,3,GRIS,18,3.0
