name,link,category,subcategory,price,size,condition,color,views,interested
Rebe enfant,https://www.vinted.fr/enfants/filles/robes/robes-courtes/2914908500-rebe-enfant,Robes,Robes courtes,1.0,4 ANS / 98-104 CM,5,MULTICOLORE,198,1.0
Serre tête zara ton rose et violet,https://www.vinted.fr/femmes/accessoires/accessoires-pour-cheveux/2916714471-serre-tete-zara-ton-rose-et-violet,Accessoires,Accessoires pour cheveux,11.0,,3,MULTICOLORE,26,2.0
Combinaison d’extérieure ZARA,https://www.vinted.fr/enfants/filles/vetements-dexterieur/vetements-de-ski/combinaisons-de-ski/2914773588-combinaison-dexterieure-zara,Vêtements de ski,Combinaisons de ski,5.0,6-9 MOIS / 68-74 CM,3,BEIGE,53,0.0
Pantalon Zara Girls. Talla 11/12 años.,https://www.vinted.fr/enfants/filles/pantalons-and-shorts/autres/2857182062-pantalon-zara-girls-talla-1112-anos,Pantalons & shorts,Autres,7.0,11 ANS / 140-146 CM,3,NOIR,82,7.0
Pull Zara,https://www.vinted.fr/enfants/filles/pulls-and-sweats-1542/2915658908-pull-zara,Pulls & sweats,Pulls,1.0,7 ANS / 116-122 CM,3,NOIR,96,0.0
Ensemble Zara gris,https://www.vinted.fr/enfants/filles/bebe-filles/ensembles/2893390512-ensemble-zara-gris,Bébé filles,Ensembles,3.0,18-24 MOIS / 86-92 CM,4,GRIS,418,1.0
Zara robe asymétrique dentelle et coton grise 4/5 ans TBE,https://www.vinted.fr/enfants/filles/tenues-de-soiree/2907076736-zara-robe-asymetrique-dentelle-et-coton-grise-45-ans-tbe,Filles,Tenues de soirée,9.0,4 ANS / 98-104 CM,3,GRIS,79,0.0
Zara plooirok size xs,https://www.vinted.fr/donna/vestiti/gonne/gonne-a-pieghe/2907902007-zara-plooirok-size-xs,Jupes,Jupes plissées,10.0,XS / 34 / 6,2,JAUNE,86,2.0
Blusa renda preta,https://www.vinted.fr/femmes/vetements/robes/pour-occasions/fetes-et-cocktails/2873569534-blusa-renda-preta,Pour occasions,Fêtes et cocktails,9.0,XXL / 44 / 16,3,NOIR,515,7.0
Jean mom Zara,https://www.vinted.fr/enfants/filles/pantalons-and-shorts/jeans/2902999144-jean-mom-zara,Pantalons & shorts,Jeans,8.0,10 ANS / 134-140 CM,3,BLEU CLAIR,100,0.0
Calças zara,https://www.vinted.fr/femmes/vetements/jeans/jeans-boyfriend/2822238316-calcas-zara,Jeans,Jeans boyfriend,3.5,XS / 34 / 6,3,BLEU CLAIR,163,5.0
Doudoune zara basique noir taille L,https://www.vinted.fr/hommes/vetements/manteaux-and-vestes/vestes/doudounes/2914825882-doudoune-zara-basique-noir-taille-l,Vestes,Doudounes,25.0,L,3,NOIR,51,6.0
Vestido verano fino comodo,https://www.vinted.fr/femmes/vetements/robes/mini/2833074227-vestido-verano-fino-comodo,Robes,Mini,9.0,S / 36 / 8,3,CRÈME,3592,17.0
Vestido terciopelo apertura lateral zara,https://www.vinted.fr/femmes/vetements/combinaisons-and-combishorts-1131/2903634143-vestido-terciopelo-apertura-lateral-zara,Combinaisons et combishorts,Combinaisons,20.0,M / 38 / 10,5,VERT,836,2.0
jeans large taille bien,https://www.vinted.fr/femmes/vetements/jeans/autre/2792287683-jeans-large-taille-bien,Jeans,Autre,4.75,XS / 34 / 6,3,CRÈME,48,2.0
Jeans zara high rise straight,https://www.vinted.fr/donna/vestiti/jeans/jeans-boyfriend/2867525463-jeans-zara-high-rise-straight,Jeans,Jeans boyfriend,15.0,XS / 34 / 6,3,BLEU CLAIR,677,6.0
Rebe enfant,https://www.vinted.fr/enfants/filles/robes/robes-courtes/2914908500-rebe-enfant,Robes,Robes courtes,1.0,4 ANS / 98-104 CM,5,MULTICOLORE,202,1.0
Serre tête zara ton rose et violet,https://www.vinted.fr/femmes/accessoires/accessoires-pour-cheveux/2916714471-serre-tete-zara-ton-rose-et-violet,Accessoires,Accessoires pour cheveux,11.0,,3,MULTICOLORE,27,2.0
Combinaison d’extérieure ZARA,https://www.vinted.fr/enfants/filles/vetements-dexterieur/vetements-de-ski/combinaisons-de-ski/2914773588-combinaison-dexterieure-zara,Vêtements de ski,Combinaisons de ski,5.0,6-9 MOIS / 68-74 CM,3,BEIGE,54,0.0
Pantalon Zara Girls. Talla 11/12 años.,https://www.vinted.fr/enfants/filles/pantalons-and-shorts/autres/2857182062-pantalon-zara-girls-talla-1112-anos,Pantalons & shorts,Autres,7.0,11 ANS / 140-146 CM,3,NOIR,82,7.0
